name
Interstellar- Main Theme
Inception - Time - Main Theme
snowfall
Jocelyn Flores
the remedy for a broken heart (why am I so in love)
Words
I Will Return
Coming Home - Part II
Love The Way You Lie - Part III (Original Demo)
Chicago Freestyle (feat. Giveon)
Fiction
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)
Mona Lisa (Spider-Man: Across the Spider-Verse)
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)"
Sunflower - Spider-Man: Into the Spider-Verse
Space Cadet (feat. Gunna)
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)"
Hummingbird (Metro Boomin & James Blake)
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )"
"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)"
"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)"
"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)"
Overdue (with Travis Scott)
Creepin' (with The Weeknd & 21 Savage)
Mourning
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix
Rich Nigga Shit (feat. Young Thug)
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
Sprinter
My City
Mile High (feat. Travis Scott & Metro Boomin)
Chemical
Dreamcatcher (feat. Swae Lee & Travis Scott)
Dancing In The Courthouse
I'm Gonna Be
I Cannot Be (A Sadder Song) (with Gunna)
Bounce Back
BAND$
Ex Bitch
Hollywood's Bleeding
whoa (mind in awe)
The Light
Rich & Sad
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)"
Fell In Love
Steal The Show
Anchor
Alone
emotions
Chicago Freestyle (feat. Giveon)
Amorfoda
medicine
Out Of Time
Hold Me (feat. Mishaal)
Tell Me About You (feat. Mishaal)
i still think of you
Sitting In Fire
Felt Like Heaven
self destructive
Skin & Bones
isometric
F*ck Love
Hate Me!
jaded
don't fall asleep yet
a place to call home
Lost In Between
Tell Me
the outside
Stargaze
She Didn’t Stick Around
i don't want to die
a long walk
Slow Down
Violets
far away from here
I Need U (Remix)
I've Been So Numb Since You Left Me
how you make me feel
die for me
none too deep
snow
Dead Eyes
Laying on my porch while we watch the world end.
UnFazed (feat. The Weeknd)
Erase Your Social
don't cry
Scrape It Off (feat. Lil Uzi Vert & Don Toliver)
Alone With You
no promises (feat. Scapegoat)
The Hills
Mona Lisa (Spider-Man: Across the Spider-Verse)
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)"
DIVE IN!
Akatsuki
BANKAI SHUNSUI X KISUKE - PHONK
Senbonzakura (PHONK)
Bankai
Bankai
Disaster
Override
Chase
Psycho
WAKE UP!
RAGNAROK
ANUBIS
suki
Ritual
Murder In My Mind
NEON BLADE
AVOID ME
Wish I Was Better
Do You Ever Think of Me?
I Need U
I Can't Hate You
Behind the Clouds
fade away(losing you)
far away from here
Broken
where do we go when we fall in love
Tell Me
fkd up
space
emma
Lost In Between
how to live
don't overthink it
Take Me Higher
Free With You
Hold Me Closer
The Way I Love You
Stuck Here Without You
Town I Called My Home
To Make It Right
Heart Stealer
Give Me Some Time
don't give up
When I'm No Longer Here
oh i try
does it really matter?
Closure
Heartache
"why am i here, i feel so alone"
both of us
Crush on
I'm Letting Go
snowflake (feat. Jaden & Sarcastic Sounds)
Can't Help Falling in Love
the end (interlude)
I'm Just a Ghost
Start All Over Again
One More Time
don't let me fall
I Love U
all i want is you
Take Me Back
You're Everything I Need
We're Slowly Falling Apart
safe place
disappear
If I Lose You - feat. Rey-Infinite
Sick of You
Meant To Be
Get You The Moon (feat. Snøw)
Last First Kiss
Trying My Best
i met a boy online
Takeaway
a place to call home
But it's Destiny
Sunset
The Hill of Yearning
Gravity
Photo of My Mind
Give You My Heart
Let Us Go
Flower
Here I Am Again
You Are My Everything
Try to Be Better (Again)
Do You Ever Think Of Me? (Remake)
Christmas Tree
Drawer
Home
Steal The Show
Maybe if
There For You
Happiest Year
Glimpse of Us
I′m Always by Your Side
U Mean The World
The Night We Met
愛我的時候
